scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size,fund_age,fund_manager,sortino,alpha,standard_deviation,beta,sharpe,risk_level,amc_name,rating,return_1yr,return_3yr,return_5yr,risk_adjusted_score,cost_efficiency,stability_score,experience_factor,category_Equity,category_Hybrid,category_Other,category_Solution Oriented,sub_category_Arbitrage Mutual Funds,sub_category_Banking and PSU Mutual Funds,sub_category_Childrens Funds,sub_category_Conservative Hybrid Mutual Funds,sub_category_Contra Funds,sub_category_Corporate Bond Mutual Funds,sub_category_Credit Risk Funds,sub_category_Dividend Yield Funds,sub_category_Dynamic Asset Allocation or Balanced Advantage,sub_category_Dynamic Bond,sub_category_ELSS Mutual Funds,sub_category_Equity Savings Mutual Funds,sub_category_Fixed Maturity Plans,sub_category_Flexi Cap Funds,sub_category_Floater Mutual Funds,sub_category_FoFs Domestic,sub_category_FoFs Overseas,sub_category_Focused Funds,sub_category_Gilt Mutual Funds,sub_category_Index Funds,sub_category_Large & Mid Cap Funds,sub_category_Large Cap Mutual Funds,sub_category_Liquid Mutual Funds,sub_category_Low Duration Funds,sub_category_Medium Duration Funds,sub_category_Medium to Long Duration Funds,sub_category_Mid Cap Mutual Funds,sub_category_Money Market Funds,sub_category_Multi Asset Allocation Mutual Funds,sub_category_Multi Cap Funds,sub_category_Overnight Mutual Funds,sub_category_Retirement Funds,sub_category_Sectoral / Thematic Mutual Funds,sub_category_Short Duration Funds,sub_category_Small Cap Mutual Funds,sub_category_Ultra Short Duration Funds,sub_category_Value Funds,amc_name_encoded
AXIS Banking & PSU Debt Fund,1.2584885824625665,0.8203147379875227,-0.78769612704279,1.553399977558221,0.6428817921498922,Aditya Pagaria,0.11425414367358668,0.3956646572681326,-1.1811689548500064,1.7554254198139727,-0.17616681525384295,3,Axis Mutual Fund,4,4.5,6.4,7.2,0.03262921002178939,-0.41018228567056275,0.22574554708310493,0.5375909193585866,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Bluechip Fund,-0.10995788207717416,-1.0713053680231932,-0.15150793558331496,4.469254962098367,0.6428817921498922,Shreyash Devalkar,-0.6373090575925093,-2.3646260451049295,0.7688012904234336,0.075362896301006,-0.5850186829409105,6,Axis Mutual Fund,4,-6.1,17.3,12.1,-0.6431351704918542,-0.2081373384468385,-0.5380173992701198,-2.5249919189338716,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Children’s Gift Fund,1.2584885824625665,0.8203147379875227,0.7603618055085993,-0.47255121299889336,-0.5231727687840503,Ashish Naik,-0.2266611228801064,-1.1337617216997988,0.3872853728699346,0.006319230951157992,-0.19563595181037,6,Axis Mutual Fund,0,-6.5,17.8,10.1,-0.2250775452588373,-0.4753317977996888,-0.5207352756995777,-1.0093259224319917,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Corporate Debt Fund,1.2584885824625665,0.8203147379875227,-1.0209651305779308,0.0004964798218738918,-0.9118576224286978,Devang Shah,0.19173488607215336,0.00978728356904122,-1.104592283226365,-0.43095731626454553,0.15480850620711623,3,Axis Mutual Fund,5,4.9,7.5,7.3,0.18725326319016578,-0.04208668831126563,-0.003718287353118687,-0.1980539787373773,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Credit Risk Fund,1.2584885824625665,0.8203147379875227,0.2302049792923702,-0.48247635826466156,0.25419693850524466,Devang Shah,-0.5133398697548028,0.22385064416123793,-1.164759668073512,-1.3745540760458008,1.10879619747694,4,Axis Mutual Fund,4,5.4,7.4,6.8,-0.05327304173841925,-0.6671092191838839,0.16321976987313636,0.2463330412679162,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Dynamic Bond Fund,1.2584885824625665,0.8203147379875227,-0.9361400383833341,-0.3125273324062,0.6428817921498922,R Sivakumar,-1.567077966375309,-0.3451072353074953,-0.8625553032730698,2.261745632379524,-1.4611298279846265,3,Axis Mutual Fund,2,3.4,6.5,7.7,-1.5880599398541526,-0.26977486043378013,-0.28776759323801715,-0.2843063117341853,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Equity Hybrid Fund,1.2584885824625665,-1.0713053680231932,0.39985516368156343,-0.3177189468529095,-1.3005424760733453,Ashish Naik,-0.20341690016053623,-1.212627170339029,0.39138769456405814,0.029333786067773992,-0.21510508836689704,6,Axis Mutual Fund,2,-4.9,17.4,8.9,-0.21362391169080944,-0.40625009667633044,-0.5209605579417452,-0.9530744009123344,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Equity Saver Fund,1.2584885824625665,-1.0713053680231932,0.37864889063291424,-0.42781171203166135,-0.1344879151394028,R Sivakumar,-0.1879207516808229,-0.49720488625458237,-0.35796973489586137,0.6967558844496373,-0.020413722801627107,4,Axis Mutual Fund,3,1.4,12.7,8.8,-0.14490211028264222,-0.5344595066814734,-0.4499851076570315,-0.4943119920742396,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Flexi Cap Fund,-0.10995788207717416,-1.0713053680231932,-0.003064024242770878,0.9615559306333359,-1.3005424760733453,Shreyash Devalkar,-0.6683013545519361,-2.364964039884812,0.8276012347058728,0.075362896301006,-0.5460804098278564,6,Axis Mutual Fund,4,-8.3,17.9,12.3,-0.6545888040598821,-0.2554471734734235,-0.5401512034048299,-1.592341692137952,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Floater Fund,1.2584885824625665,0.8203147379875227,-1.1482027688698258,-0.5136260449449187,-2.4665970370072876,Aditya Pagaria,0.1723647004725118,-0.16484335270354022,0.25874595978739345,0.006319230951157992,0.17427764276364324,2,Axis Mutual Fund,2,5.8,18.15,8.9,0.17866303801414454,1.9451939292803362,-0.5131072656454442,-0.5443133445361573,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Focused 25 Fund,-0.10995788207717416,-1.0713053680231932,0.08176106795182587,1.7344957050228529,0.6428817921498922,Jinesh Gopani,-0.923987804467206,-2.364964039884812,1.1899729843534612,0.42058122305024576,-0.8965248678453429,6,Axis Mutual Fund,2,-11.924,14.8,8.9,-0.9466564600445926,-0.3949941420287661,-0.5511515743531148,-2.5253669290773364,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS FTP – Series 104 – 1112Days,-1.4784043466169148,-1.239449377446368,-1.2118215880157734,-0.5603505749653044,-1.6892273297179927,Devang Shah,2.4148123469718277,0.8068916394584051,0.25874595978739345,3.458502498443555,1.8922342525115876,2,Axis Mutual Fund,0,11.2,14.5,14.0,2.3414526646648466,1.8975907910511516,-0.5131072656454442,0.0019514311102934749,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS FTP – Series 109 – 111Days,-1.4784043466169148,-1.239449377446368,-1.3602654993563177,-0.490874558104927,-2.4665970370072876,Devang Shah,0.1723647004725118,-0.16484335270354022,0.25874595978739345,0.006319230951157992,0.17427764276364324,3,Axis Mutual Fund,0,11.2,14.5,14.0,0.17866303801414454,5.156159664619447,-0.5131072656454442,-0.5443133445361573,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Gilt Fund,1.2584885824625665,0.8203147379875227,-0.660458488750895,-0.5568386004866479,0.6428817921498922,Devang Shah,-1.1486819574230491,-0.37609009013005007,-0.9938295974850265,-0.6841174225473213,-1.1690927796367212,3,Axis Mutual Fund,4,4.0,5.9,7.9,-1.1929095817571915,-0.5170224886750514,-0.1771873304531867,-0.31868224155175373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Gold Fund,1.2584885824625665,0.8203147379875227,-1.1269964958211767,-0.532865557306254,0.6428817921498922,Aditya Pagaria,-1.2106665513419024,-0.6943685078526582,0.5144573453877676,0.25947933723393374,-1.3832532817585184,5,Axis Mutual Fund,4,14.5,12.0,13.7,-1.301719100653456,0.8720082996647168,-0.5272668403121926,-0.6718167933140474,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Growth Opportunities Fund,1.2584885824625665,-1.0713053680231932,-0.2363330277779117,0.6525021765115693,-1.6892273297179927,Jinesh Gopani,0.005781104315593661,-0.34792385847318213,0.9793871373884475,0.121392006534238,0.15480850620711623,6,Axis Mutual Fund,3,-6.4,26.5,8.9,0.049809660373831326,0.2290538815584988,-0.5451690711450313,-0.5105624316243628,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Liquid Fund,-1.4784043466169148,-1.0713053680231932,-1.169409041918475,3.5801146408280866,0.6428817921498922,Devang Shah,1.4779152098883594,-0.2859581488280726,-1.334322298097289,-0.17779720998176976,-0.4682038636017485,2,Axis Mutual Fund,4,5.7,4.3,5.4,0.9546467122480323,-0.17795847262306216,2.7135632022867306,-0.21867953662791836,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
AXIS Long Term Equity Fund,-0.10995788207717416,-1.0713053680231932,0.3150300714869667,3.8134319018449143,0.6428817921498922,Jinesh Gopani,-0.9162397302273493,-2.364964039884812,1.1639916136240114,0.3745521128170138,-0.8770557312888159,6,Axis Mutual Fund,2,-11.1,15.7,9.4,-0.9352028264765645,-0.43330047972546215,-0.5504669015051024,-2.5253669290773364,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
