date,open,high,low,close,volume,log_ret,rvol_20,rvol_60,atr_14,atr_30,bb_width,bb_upper,bb_lower,bb_mid,bb_pct,sma50_dist,sma200_dist,roc_5,roc_10,roc_20,roc_60,rsi_14,rsi_28,macd_hist,sharpe_20,sharpe_60,hurst,vol_ratio,roll_high_20,roll_low_20,roll_high_dist,roll_low_dist,vol_ma_20,vol_ratio_20,adx_14
2018-01-01 00:00:00+00:00,13715.65,13715.65,13155.38,13410.03,1676.204807,,,,560.2700000000004,560.2700000000004,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0
2018-01-01 04:00:00+00:00,13434.98,13818.55,13322.15,13570.35,1302.214836,0.011884331275266287,,,551.7540000000004,556.1493548387101,,,,,,,,,,,,99.99999999937624,99.99999999937624,10.231247863247699,,,,,,,,,,,7.1428571374566765
2018-01-01 08:00:00+00:00,13569.98,13735.24,13001.13,13220.56,1319.755931,-0.0261140721159239,,,576.0681333333338,567.6306867845999,,,,,,,,,,,,85.62871053176978,92.52334650671469,-6.238442817834439,,,,,,,,,,,10.49874998995999
2018-01-01 12:00:00+00:00,13220.56,13330.0,12750.0,13247.0,1831.933153,0.001997918115231903,,,576.5923822222226,568.4287069920451,,,,,,,,,,,,85.79489064974388,92.56691022691322,-14.556057763778256,,,,,,,,,,,14.904848022582824
2018-01-01 16:00:00+00:00,13247.0,13290.65,12940.0,13240.37,1092.337234,-0.0005006159643985225,,,546.4667312592595,554.378467831268,,,,,,,,,,,,85.52781918678735,92.42686694397487,-19.4053603936331,,,,,,,,,,,18.996224767130652
2018-01-01 20:00:00+00:00,13222.03,13599.7,13222.03,13380.0,1387.469883,0.010490558962356344,,,523.9605004246916,542.9779215195733,,,,,,,,-0.22393685920164544,,,,86.48220055451927,92.66909453557817,-12.44838334758202,,,,,,,,,,,18.371080338295975
2018-01-02 00:00:00+00:00,13382.16,13850.0,13231.96,13353.78,2365.532926,-0.0019615638646906563,,,536.5044337013995,547.8206362602461,,,,,,,,-1.5959057798802812,,,,85.3440496404094,92.09546108706934,-9.011942319391206,,,,,,,,,,,18.207776397233047
2018-01-02 04:00:00+00:00,13353.78,13480.84,12890.02,13343.0,2980.316053,-0.0008075880751080963,,,543.7465092078795,550.5947887595851,,,,,,,,0.9261332349007247,,,,84.84963213344079,91.85303831408127,-6.956364211410433,,,,,,,,,,,17.91420695323188
2018-01-02 08:00:00+00:00,13343.01,13617.28,13302.59,13490.0,2596.182674,0.010956767459380946,,,513.2056413134957,535.3751249686442,,,,,,,,1.834377594927015,,,,86.03749723450186,92.14542053906652,4.210964927159807,,,,,,,,,,,16.822559034137903
2018-01-02 12:00:00+00:00,13490.0,13894.86,13450.46,13690.03,3365.879508,0.01471916045886183,,,504.0315558050298,529.5057620674414,,,,,,,,3.396128658035733,,,,87.47641239013933,92.5240328609842,23.878606312562717,,,,,,,,,,,16.75587555287058
2018-01-02 16:00:00+00:00,13690.02,15473.49,13503.0,14732.75,5090.273483,0.07340507619302139,,,699.5593483643592,622.4724870953485,,,,,,,,10.11023916292899,9.863661751688106,,,92.06631934796877,94.06941581449057,101.56715142378242,,,,,,,,,,,19.848035175566434
2018-01-02 20:00:00+00:00,14710.02,15160.31,14544.0,14675.11,3679.907467,-0.003920045444424249,,,688.4594352491113,622.0749072827454,,,,,,,,9.894801322171705,8.140983836083217,,,90.10050145513215,92.96774569676644,141.09561638826017,,,,,,,,,,,22.719326253774547
