entry_time,exit_time,direction,entry,exit,result,pnl,capital
2025-04-25 18:05:00+00:00,2025-04-25 18:40:00+00:00,long,94727.41,95194.95,TP,2.0,102.0
2025-04-25 19:50:00+00:00,2025-04-25 20:20:00+00:00,long,95231.99,94973.3,SL,-1.02,100.98
2025-04-25 22:10:00+00:00,2025-04-26 00:30:00+00:00,long,94803.11,94609.45,SL,-1.0098,99.9702
2025-04-26 00:50:00+00:00,2025-04-26 04:00:00+00:00,long,94928.57,94720.28,SL,-0.9997,98.9705
2025-04-26 07:55:00+00:00,2025-04-26 09:30:00+00:00,short,94570.31,94158.66,TP,1.9794,100.9499
2025-04-26 11:10:00+00:00,2025-04-26 15:25:00+00:00,short,94165.96,94380.95,SL,-1.0095,99.9404
2025-04-26 16:05:00+00:00,2025-04-26 22:00:00+00:00,short,94240.97,94448.01,SL,-0.9994,98.941
2025-04-27 00:15:00+00:00,2025-04-27 01:20:00+00:00,long,94979.99,94698.45,SL,-0.9894,97.9516
2025-04-27 03:50:00+00:00,2025-04-27 12:25:00+00:00,short,94159.2,93781.36,TP,1.959,99.9106
2025-04-27 14:50:00+00:00,2025-04-27 18:10:00+00:00,short,93962.41,94157.41,SL,-0.9991,98.9115
2025-04-27 19:30:00+00:00,2025-04-27 22:00:00+00:00,long,94380.0,94095.24,SL,-0.9891,97.9224
2025-04-27 23:45:00+00:00,2025-04-28 01:15:00+00:00,short,93709.98,93234.33,TP,1.9584,99.8809
2025-04-28 06:00:00+00:00,2025-04-28 07:40:00+00:00,long,94345.18,94765.09,TP,1.9976,101.8785
2025-04-28 10:35:00+00:00,2025-04-28 13:30:00+00:00,long,95140.0,94794.0,SL,-1.0188,100.8597
2025-04-28 14:25:00+00:00,2025-04-28 14:30:00+00:00,long,94644.68,94384.4,SL,-1.0086,99.8511
2025-04-28 14:35:00+00:00,2025-04-28 14:50:00+00:00,long,94615.2,94416.0,SL,-0.9985,98.8526
2025-04-28 15:05:00+00:00,2025-04-28 15:45:00+00:00,short,94111.49,93630.0,TP,1.9771,100.8296
2025-04-28 22:00:00+00:00,2025-04-28 23:05:00+00:00,long,94552.02,94990.0,TP,2.0166,102.8462
2025-04-29 01:05:00+00:00,2025-04-29 01:10:00+00:00,long,95239.91,95034.92,SL,-1.0285,101.8178
2025-04-29 01:40:00+00:00,2025-04-29 01:50:00+00:00,long,95255.74,95005.24,SL,-1.0182,100.7996
2025-04-29 03:30:00+00:00,2025-04-29 04:45:00+00:00,long,94717.92,94434.92,SL,-1.008,99.7916
2025-04-29 11:10:00+00:00,2025-04-29 12:20:00+00:00,long,95200.0,94926.74,SL,-0.9979,98.7937
2025-04-29 13:50:00+00:00,2025-04-29 16:30:00+00:00,long,94911.43,95365.96,TP,1.9759,100.7695
2025-04-29 17:00:00+00:00,2025-04-29 17:10:00+00:00,short,94821.6,95046.2,SL,-1.0077,99.7619
2025-04-29 17:25:00+00:00,2025-04-29 20:15:00+00:00,long,95221.19,95014.03,SL,-0.9976,98.7642
2025-04-29 22:05:00+00:00,2025-04-29 23:10:00+00:00,short,94258.39,93819.99,TP,1.9753,100.7395
2025-04-30 01:40:00+00:00,2025-04-30 02:05:00+00:00,short,94381.84,94571.43,SL,-1.0074,99.7321
2025-04-30 02:35:00+00:00,2025-04-30 03:30:00+00:00,short,94573.74,94775.85,SL,-0.9973,98.7348
2025-04-30 08:25:00+00:00,2025-04-30 08:55:00+00:00,short,94527.59,94718.18,SL,-0.9873,97.7475
2025-04-30 10:35:00+00:00,2025-04-30 12:30:00+00:00,long,94979.24,94733.6,SL,-0.9775,96.77
2025-04-30 16:15:00+00:00,2025-04-30 16:35:00+00:00,short,93662.12,94004.5,SL,-0.9677,95.8023
2025-04-30 18:35:00+00:00,2025-04-30 20:00:00+00:00,short,94076.81,94288.13,SL,-0.958,94.8443
2025-05-01 04:55:00+00:00,2025-05-01 09:20:00+00:00,long,94860.51,95348.91,TP,1.8969,96.7411
2025-05-01 12:45:00+00:00,2025-05-01 13:35:00+00:00,long,96409.99,96186.0,SL,-0.9674,95.7737
2025-05-01 14:25:00+00:00,2025-05-01 14:55:00+00:00,long,96404.01,96827.99,TP,1.9155,97.6892
2025-05-01 16:35:00+00:00,2025-05-01 16:50:00+00:00,long,97326.91,97096.33,SL,-0.9769,96.7123
2025-05-01 18:45:00+00:00,2025-05-01 19:05:00+00:00,long,96908.57,96580.0,SL,-0.9671,95.7452
2025-05-01 19:45:00+00:00,2025-05-01 20:00:00+00:00,long,96611.12,96326.01,SL,-0.9575,94.7877
2025-05-01 20:10:00+00:00,2025-05-01 20:45:00+00:00,long,96724.0,96493.55,SL,-0.9479,93.8399
2025-05-01 21:10:00+00:00,2025-05-01 21:55:00+00:00,long,96697.0,96464.55,SL,-0.9384,92.9015
2025-05-01 22:15:00+00:00,2025-05-01 22:30:00+00:00,long,96642.86,96431.39,SL,-0.929,91.9724
2025-05-01 23:45:00+00:00,2025-05-02 00:20:00+00:00,long,96399.99,96801.58,TP,1.8394,93.8119
2025-05-02 03:00:00+00:00,2025-05-02 05:15:00+00:00,long,97065.57,96852.06,SL,-0.9381,92.8738
2025-05-02 06:25:00+00:00,2025-05-02 07:00:00+00:00,long,96820.75,96572.01,SL,-0.9287,91.945
2025-05-02 07:20:00+00:00,2025-05-02 07:35:00+00:00,long,96635.35,96424.23,SL,-0.9194,91.0256
2025-05-02 09:40:00+00:00,2025-05-02 10:15:00+00:00,short,96594.54,96833.34,SL,-0.9103,90.1153
2025-05-02 12:45:00+00:00,2025-05-02 13:10:00+00:00,long,97029.37,96769.85,SL,-0.9012,89.2142
2025-05-02 14:15:00+00:00,2025-05-02 14:35:00+00:00,long,96978.23,97604.0,TP,1.7843,90.9985
2025-05-02 16:10:00+00:00,2025-05-02 16:55:00+00:00,long,97613.2,97348.69,SL,-0.91,90.0885
2025-05-02 18:00:00+00:00,2025-05-02 18:50:00+00:00,long,97467.47,97266.0,SL,-0.9009,89.1876
2025-05-02 21:35:00+00:00,2025-05-03 03:15:00+00:00,short,96828.06,96433.74,TP,1.7838,90.9713
2025-05-03 05:55:00+00:00,2025-05-03 10:40:00+00:00,short,96417.14,95937.62,TP,1.8194,92.7908
2025-05-03 14:35:00+00:00,2025-05-03 17:15:00+00:00,short,96330.5,95917.79,TP,1.8558,94.6466
2025-05-03 20:30:00+00:00,2025-05-03 23:30:00+00:00,short,96301.02,95880.35,TP,1.8929,96.5395
2025-05-04 00:35:00+00:00,2025-05-04 01:50:00+00:00,short,95786.23,95991.6,SL,-0.9654,95.5741
2025-05-04 02:40:00+00:00,2025-05-04 06:00:00+00:00,short,95919.99,96134.46,SL,-0.9557,94.6184
2025-05-04 06:25:00+00:00,2025-05-04 08:30:00+00:00,short,95947.42,95488.61,TP,1.8924,96.5107
2025-05-04 09:55:00+00:00,2025-05-04 20:25:00+00:00,short,95485.01,95717.4,SL,-0.9651,95.5456
2025-05-05 01:20:00+00:00,2025-05-05 01:30:00+00:00,short,94313.01,93914.84,TP,1.9109,97.4566
2025-05-05 03:25:00+00:00,2025-05-05 04:15:00+00:00,short,94016.61,94280.17,SL,-0.9746,96.482
2025-05-05 06:45:00+00:00,2025-05-05 10:35:00+00:00,short,94662.01,94160.54,TP,1.9296,98.4116
2025-05-05 13:30:00+00:00,2025-05-05 15:05:00+00:00,short,94108.0,93656.99,TP,1.9682,100.3799
2025-05-05 21:00:00+00:00,2025-05-05 22:10:00+00:00,long,94441.96,94837.73,TP,2.0076,102.3875
2025-05-06 01:10:00+00:00,2025-05-06 01:35:00+00:00,long,94750.73,94484.68,SL,-1.0239,101.3636
2025-05-06 01:40:00+00:00,2025-05-06 04:50:00+00:00,short,94382.83,94573.58,SL,-1.0136,100.3499
2025-05-06 05:15:00+00:00,2025-05-06 08:25:00+00:00,short,94425.43,94036.67,TP,2.007,102.3569
2025-05-06 09:35:00+00:00,2025-05-06 11:50:00+00:00,short,94136.77,93723.53,TP,2.0471,104.4041
2025-05-06 13:10:00+00:00,2025-05-06 13:40:00+00:00,short,93735.53,93952.68,SL,-1.044,103.36
