entry_time,exit_time,direction,entry_fill,exit_fill,result,pnl,capital,risk_pct
2023-04-26 23:35:00+00:00,2023-04-27 00:15:00+00:00,short,28311.53,28597.5,SL,-1.0101,98.9899,1.0
2023-04-27 12:30:00+00:00,2023-04-27 15:20:00+00:00,short,28852.54,29143.98,SL,-0.9999,97.99,1.0
2023-04-27 17:10:00+00:00,2023-05-01 01:35:00+00:00,long,29176.96,28882.3,SL,-0.9896,97.0004,1.0
2023-05-01 05:40:00+00:00,2023-05-02 18:45:00+00:00,short,28418.68,28705.73,SL,-0.9798,96.0206,1.0
2023-05-04 01:55:00+00:00,2023-05-04 13:35:00+00:00,long,29073.58,28779.96,SL,-0.9697,95.0509,1.0
2023-05-05 11:05:00+00:00,2023-05-06 14:05:00+00:00,long,29107.98,28814.02,SL,-0.9599,94.091,1.0
2023-05-07 11:15:00+00:00,2023-05-08 07:45:00+00:00,short,28776.31,27915.81,TP,2.8136,96.9046,1.0
2023-05-08 14:05:00+00:00,2023-05-10 12:45:00+00:00,short,27776.08,28056.65,SL,-0.9788,95.9257,1.0
2023-05-11 00:00:00+00:00,2023-05-12 02:30:00+00:00,short,27588.01,26763.05,TP,2.8685,98.7942,1.0
2023-05-13 00:55:00+00:00,2023-05-18 17:55:00+00:00,long,26841.67,26570.6,SL,-0.9977,97.7965,1.0
2023-05-19 09:10:00+00:00,2023-05-20 17:55:00+00:00,short,26856.53,27127.81,SL,-0.9878,96.8086,1.0
2023-05-21 03:40:00+00:00,2023-05-21 11:00:00+00:00,long,27182.72,26908.2,SL,-0.9777,95.831,1.0
2023-05-21 23:55:00+00:00,2023-05-22 13:40:00+00:00,short,26745.11,27015.26,SL,-0.968,94.863,1.0
2023-05-23 01:25:00+00:00,2023-05-24 06:45:00+00:00,long,26979.63,26707.16,SL,-0.958,93.905,1.0
2023-05-24 18:25:00+00:00,2023-05-25 19:10:00+00:00,short,26237.21,26502.23,SL,-0.9485,92.9564,1.0
2023-05-25 23:05:00+00:00,2023-05-28 16:05:00+00:00,long,26481.97,27273.7,TP,2.7791,95.7355,1.0
2023-05-29 18:45:00+00:00,2023-05-30 03:15:00+00:00,short,27635.03,27914.17,SL,-0.967,94.7685,1.0
2023-05-31 08:45:00+00:00,2023-06-05 15:50:00+00:00,short,27128.07,26316.86,TP,2.8339,97.6024,1.0
2023-06-05 21:20:00+00:00,2023-06-05 23:25:00+00:00,short,25544.08,25802.1,SL,-0.9859,96.6165,1.0
2023-06-07 21:50:00+00:00,2023-06-08 14:30:00+00:00,short,26293.17,26558.76,SL,-0.9759,95.6406,1.0
2023-06-09 04:20:00+00:00,2023-06-09 13:10:00+00:00,short,26432.28,26699.27,SL,-0.9661,94.6745,1.0
2023-06-09 14:25:00+00:00,2023-06-09 19:25:00+00:00,long,26688.88,26419.35,SL,-0.9561,93.7184,1.0
2023-06-10 00:35:00+00:00,2023-06-10 05:05:00+00:00,short,26452.66,25661.65,TP,2.8025,96.5209,1.0
2023-06-10 10:05:00+00:00,2023-06-10 17:30:00+00:00,short,25642.98,25902.0,SL,-0.975,95.5459,1.0
2023-06-11 09:55:00+00:00,2023-06-11 17:05:00+00:00,short,25703.69,25963.32,SL,-0.9651,94.5808,1.0
2023-06-12 02:00:00+00:00,2023-06-12 02:45:00+00:00,long,25957.2,25695.05,SL,-0.9552,93.6256,1.0
