strategy,entry_time,exit_time,direction,entry,exit,result,risk_used,pnl,capital,streak
U1. Triple EMA + MACD,2026-04-05 10:35:00+00:00,2026-04-05 10:40:00+00:00,long,67095.8,67040.58,SL ❌,0.9163,-0.9163,90.7166,-2
U1. Triple EMA + MACD,2026-04-06 13:35:00+00:00,2026-04-06 13:40:00+00:00,short,69290.49,69367.76,SL ❌,0.4536,-0.4536,90.263,-3
U1. Triple EMA + MACD,2026-04-07 19:45:00+00:00,2026-04-07 20:00:00+00:00,long,68885.13,69341.69,TP ✅,0.4513,1.1283,91.3913,1
U1. Triple EMA + MACD,2026-04-08 11:35:00+00:00,2026-04-08 11:40:00+00:00,short,71417.46,71523.95,SL ❌,0.9139,-0.9139,90.4774,-1
U1. Triple EMA + MACD,2026-04-10 12:40:00+00:00,2026-04-10 12:55:00+00:00,long,72367.26,72259.93,SL ❌,0.9048,-0.9048,89.5726,-2
U1. Triple EMA + MACD,2026-04-12 08:25:00+00:00,2026-04-12 08:45:00+00:00,long,71722.76,71671.68,SL ❌,0.4479,-0.4479,89.1247,-3
U1. Triple EMA + MACD,2026-04-12 12:50:00+00:00,2026-04-12 13:00:00+00:00,short,71210.23,70971.16,TP ✅,0.4456,1.1141,90.2388,1
U1. Triple EMA + MACD,2026-04-12 19:10:00+00:00,2026-04-12 19:15:00+00:00,long,71216.52,71152.76,SL ❌,0.9024,-0.9024,89.3364,-1
U1. Triple EMA + MACD,2026-04-13 13:45:00+00:00,2026-04-13 14:25:00+00:00,long,71337.41,71665.67,TP ✅,0.8934,2.2334,91.5698,1
U1. Triple EMA + MACD,2026-04-13 17:30:00+00:00,2026-04-13 17:50:00+00:00,long,72511.62,72169.97,SL ❌,0.9157,-0.9157,90.6541,-1
U1. Triple EMA + MACD,2026-04-15 16:50:00+00:00,2026-04-15 17:00:00+00:00,short,73861.47,74083.71,SL ❌,0.9065,-0.9065,89.7476,-2
U1. Triple EMA + MACD,2026-04-19 20:15:00+00:00,2026-04-19 20:30:00+00:00,short,74711.98,74900.47,SL ❌,0.4487,-0.4487,89.2988,-3
U1. Triple EMA + MACD,2026-04-20 15:25:00+00:00,2026-04-20 16:05:00+00:00,long,75747.39,75493.01,SL ❌,0.4465,-0.4465,88.8523,-4
U1. Triple EMA + MACD,2026-04-20 18:50:00+00:00,2026-04-20 19:20:00+00:00,long,76448.27,76236.09,SL ❌,0.4443,-0.4443,88.4081,-5
U1. Triple EMA + MACD,2026-04-21 10:20:00+00:00,2026-04-21 10:50:00+00:00,long,76598.55,76868.97,TP ✅,0.442,1.1051,89.5132,1
U1. Triple EMA + MACD,2026-04-22 15:35:00+00:00,2026-04-22 16:10:00+00:00,long,79307.78,79238.58,BE 〰,0.8951,0.0,89.5132,1
U1. Triple EMA + MACD,2026-04-23 10:05:00+00:00,2026-04-23 11:00:00+00:00,short,77326.08,77524.68,SL ❌,0.8951,-0.8951,88.618,-1
U2. Momentum Score,2026-02-26 08:25:00+00:00,2026-02-26 08:35:00+00:00,short,68016.98,68092.24,SL ❌,1.0,-1.0,99.0,-1
U2. Momentum Score,2026-02-26 08:40:00+00:00,2026-02-26 08:45:00+00:00,short,67970.1,68067.31,SL ❌,0.99,-0.99,98.01,-2
U2. Momentum Score,2026-02-26 08:55:00+00:00,2026-02-26 09:05:00+00:00,short,67954.36,68093.44,SL ❌,0.49,-0.49,97.52,-3
U2. Momentum Score,2026-02-26 09:10:00+00:00,2026-02-26 09:15:00+00:00,long,68360.92,68232.02,SL ❌,0.4876,-0.4876,97.0324,-4
U2. Momentum Score,2026-02-26 12:45:00+00:00,2026-02-26 12:50:00+00:00,short,68081.47,68172.73,SL ❌,0.4852,-0.4852,96.5472,-5
U2. Momentum Score,2026-02-26 13:05:00+00:00,2026-02-26 13:10:00+00:00,short,68177.24,68014.74,TP ✅,0.4827,1.2068,97.754,1
U2. Momentum Score,2026-02-26 14:30:00+00:00,2026-02-26 14:35:00+00:00,short,67955.54,68117.91,SL ❌,0.9775,-0.9775,96.7765,-1
U2. Momentum Score,2026-02-26 14:40:00+00:00,2026-02-26 14:45:00+00:00,short,67871.74,67369.8,TP ✅,0.9678,2.4194,99.1959,1
U2. Momentum Score,2026-02-26 16:00:00+00:00,2026-02-26 16:25:00+00:00,short,67371.26,67514.53,SL ❌,0.992,-0.992,98.2039,-1
U2. Momentum Score,2026-02-26 16:30:00+00:00,2026-02-26 16:50:00+00:00,short,67191.1,66640.6,TP ✅,0.982,2.4551,100.659,1
U2. Momentum Score,2026-02-26 18:20:00+00:00,2026-02-26 18:30:00+00:00,short,66873.84,67233.22,SL ❌,1.0066,-1.0066,99.6524,-1
U2. Momentum Score,2026-02-26 20:35:00+00:00,2026-02-26 21:25:00+00:00,short,67409.88,67494.6,SL ❌,0.9965,-0.9965,98.6559,-2
U2. Momentum Score,2026-02-27 09:45:00+00:00,2026-02-27 10:10:00+00:00,short,67456.7,66991.5,TP ✅,0.4933,1.2332,99.8891,1
U2. Momentum Score,2026-02-27 13:05:00+00:00,2026-02-27 13:35:00+00:00,short,66047.66,65749.11,TP ✅,0.9989,2.4972,102.3864,2
U2. Momentum Score,2026-02-27 14:40:00+00:00,2026-02-27 14:45:00+00:00,short,65812.81,65960.27,SL ❌,1.5358,-1.5358,100.8506,-1
U2. Momentum Score,2026-02-27 15:40:00+00:00,2026-02-27 15:50:00+00:00,short,66030.6,66216.17,SL ❌,1.0085,-1.0085,99.8421,-2
U2. Momentum Score,2026-02-27 16:05:00+00:00,2026-02-27 16:45:00+00:00,short,65926.79,65560.27,TP ✅,0.4992,1.248,101.0901,1
U2. Momentum Score,2026-02-27 18:20:00+00:00,2026-02-27 18:25:00+00:00,short,65430.07,65536.4,SL ❌,1.0109,-1.0109,100.0792,-1
U2. Momentum Score,2026-02-27 18:30:00+00:00,2026-02-27 18:50:00+00:00,short,65570.57,65350.33,TP ✅,1.0008,2.502,102.5812,1
U2. Momentum Score,2026-02-28 08:05:00+00:00,2026-02-28 08:15:00+00:00,short,63603.21,63799.15,SL ❌,1.0258,-1.0258,101.5553,-1
U2. Momentum Score,2026-02-28 08:45:00+00:00,2026-02-28 09:10:00+00:00,short,63658.8,63654.37,BE 〰,1.0156,0.0,101.5553,0
U2. Momentum Score,2026-02-28 09:45:00+00:00,2026-02-28 10:15:00+00:00,short,63629.39,63730.34,SL ❌,1.0156,-1.0156,100.5398,-1
U2. Momentum Score,2026-02-28 11:55:00+00:00,2026-02-28 12:05:00+00:00,short,63836.73,63925.39,SL ❌,1.0054,-1.0054,99.5344,-2
U2. Momentum Score,2026-02-28 12:45:00+00:00,2026-02-28 12:55:00+00:00,short,63931.43,64032.43,SL ❌,0.4977,-0.4977,99.0367,-3
U2. Momentum Score,2026-02-28 13:20:00+00:00,2026-02-28 13:35:00+00:00,long,64075.66,64000.58,SL ❌,0.4952,-0.4952,98.5415,-4
U2. Momentum Score,2026-02-28 13:45:00+00:00,2026-02-28 13:50:00+00:00,long,64205.95,64987.59,TP ✅,0.4927,1.2318,99.7733,1
U2. Momentum Score,2026-02-28 15:25:00+00:00,2026-02-28 17:15:00+00:00,long,64821.32,64933.91,SL ❌,0.9977,-0.9977,98.7756,-1
U2. Momentum Score,2026-02-28 17:45:00+00:00,2026-02-28 17:55:00+00:00,long,65133.37,65421.79,TP ✅,0.9878,2.4694,101.245,1
U2. Momentum Score,2026-03-01 10:55:00+00:00,2026-03-01 11:15:00+00:00,short,66472.52,66600.69,SL ❌,1.0125,-1.0125,100.2325,-1
U2. Momentum Score,2026-03-01 11:35:00+00:00,2026-03-01 12:40:00+00:00,short,66475.16,66509.04,BE 〰,1.0023,0.0,100.2325,0
U2. Momentum Score,2026-03-01 19:05:00+00:00,2026-03-01 19:15:00+00:00,short,66217.1,65995.22,TP ✅,1.0023,2.5058,102.7383,1
U2. Momentum Score,2026-03-02 10:10:00+00:00,2026-03-02 10:25:00+00:00,short,66122.65,66224.54,SL ❌,1.0274,-1.0274,101.7109,-1
U2. Momentum Score,2026-03-02 10:35:00+00:00,2026-03-02 11:40:00+00:00,short,66217.95,66324.62,SL ❌,1.0171,-1.0171,100.6938,-2
U2. Momentum Score,2026-03-02 11:45:00+00:00,2026-03-02 12:00:00+00:00,long,66360.2,66268.85,SL ❌,0.5035,-0.5035,100.1904,-3
U2. Momentum Score,2026-03-02 12:20:00+00:00,2026-03-02 13:00:00+00:00,short,66122.14,65931.98,TP ✅,0.501,1.2524,101.4427,1
U2. Momentum Score,2026-03-02 14:35:00+00:00,2026-03-02 14:45:00+00:00,long,66243.41,66818.44,TP ✅,1.0144,2.5361,103.9788,2
U2. Momentum Score,2026-03-02 18:30:00+00:00,2026-03-02 18:35:00+00:00,long,69227.86,69085.83,SL ❌,1.5597,-1.5597,102.4191,-1
U2. Momentum Score,2026-03-02 18:45:00+00:00,2026-03-02 18:50:00+00:00,long,69140.49,68991.96,SL ❌,1.0242,-1.0242,101.3949,-2
U2. Momentum Score,2026-03-02 20:00:00+00:00,2026-03-02 20:05:00+00:00,long,69186.77,68878.58,SL ❌,0.507,-0.507,100.888,-3
U2. Momentum Score,2026-03-02 20:20:00+00:00,2026-03-02 20:45:00+00:00,long,68928.3,69361.53,TP ✅,0.5044,1.2611,102.1491,1
U2. Momentum Score,2026-03-03 08:20:00+00:00,2026-03-03 08:30:00+00:00,short,67940.87,67614.92,TP ✅,1.0215,2.5537,104.7028,2
U2. Momentum Score,2026-03-03 13:10:00+00:00,2026-03-03 14:05:00+00:00,short,67049.84,67209.77,SL ❌,1.5705,-1.5705,103.1323,-1
U2. Momentum Score,2026-03-03 14:30:00+00:00,2026-03-03 14:35:00+00:00,short,66830.73,67108.35,SL ❌,1.0313,-1.0313,102.1009,-2
U2. Momentum Score,2026-03-03 17:20:00+00:00,2026-03-03 17:30:00+00:00,long,68253.07,67829.41,SL ❌,0.5105,-0.5105,101.5904,-3
U2. Momentum Score,2026-03-03 17:40:00+00:00,2026-03-03 18:10:00+00:00,long,68154.08,68010.43,SL ❌,0.508,-0.508,101.0825,-4
U2. Momentum Score,2026-03-04 10:40:00+00:00,2026-03-04 10:45:00+00:00,long,71362.16,71219.54,SL ❌,0.5054,-0.5054,100.5771,-5
U2. Momentum Score,2026-03-04 11:15:00+00:00,2026-03-04 11:20:00+00:00,long,71421.44,71306.68,SL ❌,0.5029,-0.5029,100.0742,-6
U2. Momentum Score,2026-03-04 12:50:00+00:00,2026-03-04 13:05:00+00:00,long,71115.12,71594.09,TP ✅,0.5004,1.2509,101.3251,1
U2. Momentum Score,2026-03-04 17:35:00+00:00,2026-03-04 18:10:00+00:00,long,73215.66,73091.55,SL ❌,1.0133,-1.0133,100.3118,-1
U2. Momentum Score,2026-03-04 18:15:00+00:00,2026-03-04 18:30:00+00:00,long,73253.27,73246.18,BE 〰,1.0031,0.0,100.3118,0
U2. Momentum Score,2026-03-04 18:40:00+00:00,2026-03-04 19:10:00+00:00,long,73499.04,73973.26,TP ✅,1.0031,2.5078,102.8196,1
U2. Momentum Score,2026-03-05 12:50:00+00:00,2026-03-05 13:00:00+00:00,long,72958.58,72801.28,SL ❌,1.0282,-1.0282,101.7914,-1
U2. Momentum Score,2026-03-05 13:10:00+00:00,2026-03-05 13:30:00+00:00,short,72625.83,72324.31,TP ✅,1.0179,2.5448,104.3362,1
U2. Momentum Score,2026-03-05 14:30:00+00:00,2026-03-05 14:40:00+00:00,long,72690.33,72170.67,SL ❌,1.0434,-1.0434,103.2929,-1
U2. Momentum Score,2026-03-05 14:55:00+00:00,2026-03-05 15:00:00+00:00,long,72711.29,72436.43,SL ❌,1.0329,-1.0329,102.2599,-2
U2. Momentum Score,2026-03-05 17:05:00+00:00,2026-03-05 17:30:00+00:00,short,71244.48,70825.44,TP ✅,0.5113,1.2782,103.5382,1
U2. Momentum Score,2026-03-05 19:55:00+00:00,2026-03-05 20:10:00+00:00,short,70952.46,71049.16,SL ❌,1.0354,-1.0354,102.5028,-1
U2. Momentum Score,2026-03-06 08:40:00+00:00,2026-03-06 08:50:00+00:00,long,70933.48,70815.57,SL ❌,1.025,-1.025,101.4778,-2
U2. Momentum Score,2026-03-06 10:40:00+00:00,2026-03-06 10:50:00+00:00,short,70527.96,70598.06,SL ❌,0.5074,-0.5074,100.9704,-3
U2. Momentum Score,2026-03-06 13:45:00+00:00,2026-03-06 13:55:00+00:00,short,69882.43,69358.98,TP ✅,0.5049,1.2621,102.2325,1
U2. Momentum Score,2026-03-06 15:25:00+00:00,2026-03-06 15:35:00+00:00,short,68863.4,69012.08,SL ❌,1.0223,-1.0223,101.2102,-1
U2. Momentum Score,2026-03-06 15:50:00+00:00,2026-03-06 15:55:00+00:00,short,68334.02,68543.03,SL ❌,1.0121,-1.0121,100.1981,-2
U2. Momentum Score,2026-03-06 16:55:00+00:00,2026-03-06 17:35:00+00:00,short,68470.2,67854.32,TP ✅,0.501,1.2525,101.4506,1
U2. Momentum Score,2026-03-06 19:00:00+00:00,2026-03-06 19:10:00+00:00,short,68282.82,68395.76,SL ❌,1.0145,-1.0145,100.4361,-1
U2. Momentum Score,2026-03-06 19:25:00+00:00,2026-03-06 20:00:00+00:00,short,68181.26,68212.13,BE 〰,1.0044,0.0,100.4361,0
U2. Momentum Score,2026-03-07 08:55:00+00:00,2026-03-07 09:05:00+00:00,short,67763.16,67830.52,SL ❌,1.0044,-1.0044,99.4317,-1
U2. Momentum Score,2026-03-07 10:25:00+00:00,2026-03-07 10:35:00+00:00,short,67925.17,67979.52,SL ❌,0.9943,-0.9943,98.4374,-2
U2. Momentum Score,2026-03-07 10:40:00+00:00,2026-03-07 10:55:00+00:00,short,67989.44,67882.58,TP ✅,0.4922,1.2305,99.6679,1
U2. Momentum Score,2026-03-07 11:10:00+00:00,2026-03-07 12:05:00+00:00,long,68059.88,67990.76,SL ❌,0.9967,-0.9967,98.6712,-1
U2. Momentum Score,2026-03-07 13:05:00+00:00,2026-03-07 13:10:00+00:00,short,67966.15,68031.12,SL ❌,0.9867,-0.9867,97.6845,-2
U2. Momentum Score,2026-03-07 13:15:00+00:00,2026-03-07 13:20:00+00:00,long,68071.13,67994.23,SL ❌,0.4884,-0.4884,97.196,-3
U2. Momentum Score,2026-03-07 13:35:00+00:00,2026-03-07 14:10:00+00:00,short,67881.52,67631.5,TP ✅,0.486,1.2149,98.411,1
U2. Momentum Score,2026-03-07 14:50:00+00:00,2026-03-07 16:20:00+00:00,long,68038.7,67838.82,SL ❌,0.9841,-0.9841,97.4269,-1
U2. Momentum Score,2026-03-07 17:55:00+00:00,2026-03-07 18:05:00+00:00,short,67781.77,67600.22,TP ✅,0.9743,2.4357,99.8626,1
U2. Momentum Score,2026-03-08 08:40:00+00:00,2026-03-08 09:10:00+00:00,long,67446.88,67650.63,TP ✅,0.9986,2.4966,102.3591,2
U2. Momentum Score,2026-03-08 14:20:00+00:00,2026-03-08 14:25:00+00:00,long,67335.8,67251.23,SL ❌,1.5354,-1.5354,100.8237,-1
U2. Momentum Score,2026-03-08 14:30:00+00:00,2026-03-08 14:40:00+00:00,long,67342.49,67081.12,SL ❌,1.0082,-1.0082,99.8155,-2
U2. Momentum Score,2026-03-08 15:00:00+00:00,2026-03-08 15:05:00+00:00,long,67342.79,67258.71,SL ❌,0.4991,-0.4991,99.3164,-3
U2. Momentum Score,2026-03-08 15:25:00+00:00,2026-03-08 16:30:00+00:00,short,67212.89,67023.64,TP ✅,0.4966,1.2415,100.5579,1
U2. Momentum Score,2026-03-08 17:55:00+00:00,2026-03-08 18:15:00+00:00,short,66978.2,66836.5,TP ✅,1.0056,2.5139,103.0718,2
U2. Momentum Score,2026-03-08 20:25:00+00:00,2026-03-08 20:30:00+00:00,short,67085.56,67294.51,SL ❌,1.5461,-1.5461,101.5257,-1
U2. Momentum Score,2026-03-09 11:50:00+00:00,2026-03-09 12:15:00+00:00,long,67719.51,67893.95,TP ✅,1.0153,2.5381,104.0639,1
U2. Momentum Score,2026-03-09 15:00:00+00:00,2026-03-09 15:25:00+00:00,long,69232.68,69072.64,SL ❌,1.0406,-1.0406,103.0232,-1
U2. Momentum Score,2026-03-09 16:40:00+00:00,2026-03-09 17:20:00+00:00,long,69068.23,68756.75,SL ❌,1.0302,-1.0302,101.993,-2
U2. Momentum Score,2026-03-09 20:55:00+00:00,2026-03-09 21:20:00+00:00,long,69026.19,68884.05,SL ❌,0.51,-0.51,101.4831,-3
U2. Momentum Score,2026-03-10 09:20:00+00:00,2026-03-10 09:45:00+00:00,long,71030.98,71015.66,BE 〰,0.5074,0.0,101.4831,0
U2. Momentum Score,2026-03-10 13:05:00+00:00,2026-03-10 13:25:00+00:00,long,70722.61,70907.7,TP ✅,1.0148,2.5371,104.0201,1
U2. Momentum Score,2026-03-10 13:35:00+00:00,2026-03-10 13:45:00+00:00,short,69809.53,70136.77,SL ❌,1.0402,-1.0402,102.9799,-1
U2. Momentum Score,2026-03-10 14:45:00+00:00,2026-03-10 14:50:00+00:00,long,70604.79,71121.16,TP ✅,1.0298,2.5745,105.5544,1
U2. Momentum Score,2026-03-10 16:15:00+00:00,2026-03-10 16:30:00+00:00,long,71339.14,71330.76,BE 〰,1.0555,0.0,105.5544,1
U2. Momentum Score,2026-03-10 20:15:00+00:00,2026-03-10 20:20:00+00:00,short,70043.07,70235.88,SL ❌,1.0555,-1.0555,104.4989,-1
U2. Momentum Score,2026-03-11 08:50:00+00:00,2026-03-11 08:55:00+00:00,short,69526.95,69637.3,SL ❌,1.045,-1.045,103.4539,-2
U2. Momentum Score,2026-03-11 09:25:00+00:00,2026-03-11 09:35:00+00:00,short,69608.15,69404.74,TP ✅,0.5173,1.2932,104.7471,1
U2. Momentum Score,2026-03-11 09:50:00+00:00,2026-03-11 10:40:00+00:00,short,69587.49,69672.51,SL ❌,1.0475,-1.0475,103.6996,-1
U2. Momentum Score,2026-03-11 11:25:00+00:00,2026-03-11 11:30:00+00:00,short,69453.68,69537.64,SL ❌,1.037,-1.037,102.6626,-2
U2. Momentum Score,2026-03-11 15:30:00+00:00,2026-03-11 15:35:00+00:00,short,69874.46,70197.96,SL ❌,0.5133,-0.5133,102.1493,-3
U2. Momentum Score,2026-03-11 16:10:00+00:00,2026-03-11 17:00:00+00:00,long,70446.06,70910.82,TP ✅,0.5107,1.2769,103.4261,1
U2. Momentum Score,2026-03-11 19:40:00+00:00,2026-03-11 20:00:00+00:00,long,70655.57,70558.28,SL ❌,1.0343,-1.0343,102.3919,-1
U2. Momentum Score,2026-03-11 20:55:00+00:00,2026-03-11 21:10:00+00:00,long,70665.5,70526.96,SL ❌,1.0239,-1.0239,101.368,-2
U2. Momentum Score,2026-03-12 09:00:00+00:00,2026-03-12 09:10:00+00:00,long,69853.41,69757.48,SL ❌,0.5068,-0.5068,100.8611,-3
U2. Momentum Score,2026-03-12 09:15:00+00:00,2026-03-12 09:25:00+00:00,short,69661.31,69744.73,SL ❌,0.5043,-0.5043,100.3568,-4
U2. Momentum Score,2026-03-12 09:40:00+00:00,2026-03-12 09:45:00+00:00,long,70064.09,69962.25,SL ❌,0.5018,-0.5018,99.855,-5
U2. Momentum Score,2026-03-12 12:45:00+00:00,2026-03-12 12:50:00+00:00,long,70604.2,70429.64,SL ❌,0.4993,-0.4993,99.3558,-6
U2. Momentum Score,2026-03-12 13:00:00+00:00,2026-03-12 13:15:00+00:00,long,70458.68,70259.25,SL ❌,0.4968,-0.4968,98.859,-7
U2. Momentum Score,2026-03-12 13:45:00+00:00,2026-03-12 14:00:00+00:00,short,69913.8,70321.2,SL ❌,0.4943,-0.4943,98.3647,-8
U2. Momentum Score,2026-03-12 14:10:00+00:00,2026-03-12 14:15:00+00:00,long,70423.12,70193.97,SL ❌,0.4918,-0.4918,97.8729,-9
U2. Momentum Score,2026-03-12 14:20:00+00:00,2026-03-12 14:30:00+00:00,long,70190.07,69858.8,SL ❌,0.4894,-0.4894,97.3835,-10
U2. Momentum Score,2026-03-12 15:25:00+00:00,2026-03-12 15:30:00+00:00,long,70369.37,70207.06,SL ❌,0.4869,-0.4869,96.8966,-11
U2. Momentum Score,2026-03-12 16:10:00+00:00,2026-03-12 16:25:00+00:00,long,70039.37,70158.13,SL ❌,0.4845,-0.4845,96.4121,-12
U2. Momentum Score,2026-03-12 17:35:00+00:00,2026-03-12 17:50:00+00:00,long,70438.39,70340.68,SL ❌,0.4821,-0.4821,95.93,-13
U2. Momentum Score,2026-03-12 19:25:00+00:00,2026-03-12 19:50:00+00:00,long,70208.8,70433.34,TP ✅,0.4797,1.1991,97.1292,1
U2. Momentum Score,2026-03-13 08:15:00+00:00,2026-03-13 08:35:00+00:00,long,71554.37,71928.49,TP ✅,0.9713,2.4282,99.5574,2
U2. Momentum Score,2026-03-13 11:30:00+00:00,2026-03-13 11:35:00+00:00,long,72362.81,72279.09,SL ❌,1.4934,-1.4934,98.064,-1
U2. Momentum Score,2026-03-13 12:05:00+00:00,2026-03-13 12:15:00+00:00,long,72426.68,72351.29,SL ❌,0.9806,-0.9806,97.0834,-2
U2. Momentum Score,2026-03-13 17:25:00+00:00,2026-03-13 17:40:00+00:00,short,71637.68,71116.12,TP ✅,0.4854,1.2135,98.2969,1
U2. Momentum Score,2026-03-13 19:20:00+00:00,2026-03-13 20:05:00+00:00,short,71109.91,71252.65,SL ❌,0.983,-0.983,97.314,-1
U2. Momentum Score,2026-03-14 08:15:00+00:00,2026-03-14 08:20:00+00:00,short,70629.62,70683.07,SL ❌,0.9731,-0.9731,96.3408,-2
U2. Momentum Score,2026-03-14 08:35:00+00:00,2026-03-14 09:05:00+00:00,short,70623.66,70699.68,SL ❌,0.4817,-0.4817,95.8591,-3
U2. Momentum Score,2026-03-14 09:30:00+00:00,2026-03-14 09:35:00+00:00,short,70594.36,70633.52,SL ❌,0.4793,-0.4793,95.3798,-4
U2. Momentum Score,2026-03-14 12:35:00+00:00,2026-03-14 12:45:00+00:00,short,70650.29,70736.77,SL ❌,0.4769,-0.4769,94.9029,-5
U2. Momentum Score,2026-03-14 13:05:00+00:00,2026-03-14 13:20:00+00:00,long,70774.16,70898.99,TP ✅,0.4745,1.1863,96.0892,1
U2. Momentum Score,2026-03-15 08:10:00+00:00,2026-03-15 08:35:00+00:00,long,71583.66,71532.12,SL ❌,0.9609,-0.9609,95.1283,-1
U2. Momentum Score,2026-03-15 10:15:00+00:00,2026-03-15 10:35:00+00:00,long,71840.63,71797.62,SL ❌,0.9513,-0.9513,94.177,-2
U2. Momentum Score,2026-03-15 10:40:00+00:00,2026-03-15 11:00:00+00:00,long,71822.61,71775.66,SL ❌,0.4709,-0.4709,93.7062,-3
U2. Momentum Score,2026-03-15 11:50:00+00:00,2026-03-15 12:00:00+00:00,long,71857.89,71744.3,SL ❌,0.4685,-0.4685,93.2376,-4
U2. Momentum Score,2026-03-15 14:20:00+00:00,2026-03-15 14:45:00+00:00,short,71433.82,71512.35,SL ❌,0.4662,-0.4662,92.7714,-5
U2. Momentum Score,2026-03-15 14:50:00+00:00,2026-03-15 15:25:00+00:00,long,71561.6,71490.59,SL ❌,0.4639,-0.4639,92.3076,-6
U2. Momentum Score,2026-03-15 15:55:00+00:00,2026-03-15 16:05:00+00:00,short,71488.06,71564.23,SL ❌,0.4615,-0.4615,91.846,-7
U2. Momentum Score,2026-03-15 16:10:00+00:00,2026-03-15 16:15:00+00:00,long,71568.39,71387.79,SL ❌,0.4592,-0.4592,91.3868,-8
U2. Momentum Score,2026-03-15 18:45:00+00:00,2026-03-15 19:25:00+00:00,short,71450.32,71546.49,SL ❌,0.4569,-0.4569,90.9299,-9
U2. Momentum Score,2026-03-15 19:55:00+00:00,2026-03-15 20:20:00+00:00,long,71558.02,71522.11,SL ❌,0.4546,-0.4546,90.4752,-10
U2. Momentum Score,2026-03-15 20:25:00+00:00,2026-03-15 20:30:00+00:00,short,71451.88,71646.09,SL ❌,0.4524,-0.4524,90.0229,-11
U2. Momentum Score,2026-03-16 08:15:00+00:00,2026-03-16 08:40:00+00:00,short,73460.69,73140.18,TP ✅,0.4501,1.1253,91.1481,1
U2. Momentum Score,2026-03-16 12:10:00+00:00,2026-03-16 12:25:00+00:00,long,73586.77,73783.45,TP ✅,0.9115,2.2787,93.4268,2
U2. Momentum Score,2026-03-16 14:35:00+00:00,2026-03-16 14:55:00+00:00,short,73191.4,73457.05,SL ❌,1.4014,-1.4014,92.0254,-1
U2. Momentum Score,2026-03-16 15:50:00+00:00,2026-03-16 16:15:00+00:00,short,73400.16,73451.41,BE 〰,0.9203,0.0,92.0254,0
U2. Momentum Score,2026-03-16 16:50:00+00:00,2026-03-16 17:00:00+00:00,long,73838.91,73749.06,SL ❌,0.9203,-0.9203,91.1052,-1
U2. Momentum Score,2026-03-16 19:10:00+00:00,2026-03-16 19:50:00+00:00,long,74089.12,73909.72,SL ❌,0.9111,-0.9111,90.1941,-2
U2. Momentum Score,2026-03-16 20:35:00+00:00,2026-03-16 21:00:00+00:00,long,74086.34,74282.22,TP ✅,0.451,1.1274,91.3216,1
U2. Momentum Score,2026-03-17 08:15:00+00:00,2026-03-17 08:20:00+00:00,short,74158.89,74309.36,SL ❌,0.9132,-0.9132,90.4083,-1
U2. Momentum Score,2026-03-17 08:35:00+00:00,2026-03-17 08:40:00+00:00,short,74233.07,74425.85,SL ❌,0.9041,-0.9041,89.5043,-2
U2. Momentum Score,2026-03-17 08:55:00+00:00,2026-03-17 09:20:00+00:00,short,74167.98,74185.55,BE 〰,0.4475,0.0,89.5043,0
U2. Momentum Score,2026-03-17 12:25:00+00:00,2026-03-17 13:30:00+00:00,short,73831.28,73985.05,SL ❌,0.895,-0.895,88.6092,-1
U2. Momentum Score,2026-03-17 13:45:00+00:00,2026-03-17 13:50:00+00:00,short,73810.9,73515.3,TP ✅,0.8861,2.2152,90.8244,1
U2. Momentum Score,2026-03-17 15:35:00+00:00,2026-03-17 15:50:00+00:00,short,73767.46,74067.96,SL ❌,0.9082,-0.9082,89.9162,-1
U2. Momentum Score,2026-03-17 19:35:00+00:00,2026-03-17 19:40:00+00:00,long,74757.9,74678.32,SL ❌,0.8992,-0.8992,89.017,-2
U2. Momentum Score,2026-03-17 20:00:00+00:00,2026-03-17 20:25:00+00:00,short,74479.77,74679.12,SL ❌,0.4451,-0.4451,88.572,-3
U2. Momentum Score,2026-03-18 09:00:00+00:00,2026-03-18 09:10:00+00:00,long,74074.53,74176.31,TP ✅,0.4429,1.1071,89.6791,1
U2. Momentum Score,2026-03-18 10:10:00+00:00,2026-03-18 10:20:00+00:00,long,74261.8,74196.89,SL ❌,0.8968,-0.8968,88.7823,-1
U2. Momentum Score,2026-03-18 10:35:00+00:00,2026-03-18 10:40:00+00:00,short,74036.17,73907.33,TP ✅,0.8878,2.2196,91.0019,1
U2. Momentum Score,2026-03-18 13:45:00+00:00,2026-03-18 14:15:00+00:00,short,72228.09,71912.5,TP ✅,0.91,2.275,93.2769,2
U2. Momentum Score,2026-03-18 16:05:00+00:00,2026-03-18 16:50:00+00:00,short,71276.71,71403.73,SL ❌,1.3992,-1.3992,91.8778,-1
U2. Momentum Score,2026-03-18 17:00:00+00:00,2026-03-18 17:10:00+00:00,short,71220.63,71309.01,SL ❌,0.9188,-0.9188,90.959,-2
U2. Momentum Score,2026-03-18 18:45:00+00:00,2026-03-18 18:55:00+00:00,short,71478.35,70992.88,TP ✅,0.4548,1.137,92.096,1
U2. Momentum Score,2026-03-19 08:25:00+00:00,2026-03-19 09:20:00+00:00,short,70070.23,70336.17,SL ❌,0.921,-0.921,91.175,-1
U2. Momentum Score,2026-03-19 10:35:00+00:00,2026-03-19 11:35:00+00:00,short,70259.09,70061.56,TP ✅,0.9117,2.2794,93.4544,1
