entry_time,exit_time,direction,entry_fill,exit_fill,result,pnl,capital,risk_pct
2023-04-26 23:35:00+00:00,2023-04-27 00:15:00+00:00,short,28311.53,28597.5,SL,-1.0101,98.9899,1.0
2023-04-27 12:30:00+00:00,2023-04-27 15:20:00+00:00,short,28852.54,29143.98,SL,-0.9999,97.99,1.0
2023-04-27 17:10:00+00:00,2023-05-01 01:35:00+00:00,long,29176.96,28882.3,SL,-0.9896,97.0004,1.0
2023-05-01 05:40:00+00:00,2023-05-02 18:45:00+00:00,short,28418.68,28705.73,SL,-0.9798,96.0206,1.0
2023-05-03 08:30:00+00:00,2023-05-03 12:40:00+00:00,long,28744.19,28453.91,SL,-0.9697,95.0509,1.0
2023-05-03 14:35:00+00:00,2023-05-03 16:55:00+00:00,short,28183.07,28467.75,SL,-0.9601,94.0908,1.0
2023-05-03 20:40:00+00:00,2023-05-03 21:10:00+00:00,short,28320.9,28606.97,SL,-0.9504,93.1404,1.0
2023-05-04 01:55:00+00:00,2023-05-04 13:35:00+00:00,long,29073.58,28779.96,SL,-0.9406,92.1997,1.0
2023-05-04 22:55:00+00:00,2023-05-05 01:30:00+00:00,short,28777.02,29067.7,SL,-0.9313,91.2684,1.0
2023-05-05 11:05:00+00:00,2023-05-06 14:05:00+00:00,long,29107.98,28814.02,SL,-0.9217,90.3467,1.0
2023-05-07 11:15:00+00:00,2023-05-08 07:45:00+00:00,short,28776.31,27915.81,TP,2.7016,93.0484,1.0
2023-05-08 14:05:00+00:00,2023-05-10 12:45:00+00:00,short,27776.08,28056.65,SL,-0.9399,92.1085,1.0
2023-05-10 16:15:00+00:00,2023-05-10 17:10:00+00:00,long,28271.94,27986.42,SL,-0.9302,91.1783,1.0
2023-05-11 00:00:00+00:00,2023-05-12 02:30:00+00:00,short,27588.01,26763.05,TP,2.7265,93.9048,1.0
2023-05-12 05:40:00+00:00,2023-05-12 22:10:00+00:00,short,26572.74,26841.15,SL,-0.9485,92.9562,1.0
2023-05-12 23:55:00+00:00,2023-05-15 17:10:00+00:00,long,26797.69,27598.86,TP,2.7791,95.7354,1.0
2023-05-16 01:15:00+00:00,2023-05-17 19:45:00+00:00,short,27127.86,27401.88,SL,-0.967,94.7683,1.0
2023-05-17 23:05:00+00:00,2023-05-18 15:55:00+00:00,long,27390.73,27114.11,SL,-0.9571,93.8113,1.0
2023-05-18 17:35:00+00:00,2023-05-20 17:50:00+00:00,short,26808.35,27079.14,SL,-0.9476,92.8637,1.0
2023-05-21 00:40:00+00:00,2023-05-21 11:50:00+00:00,long,27113.95,26840.13,SL,-0.9378,91.9258,1.0
2023-05-21 17:45:00+00:00,2023-05-23 02:55:00+00:00,short,26842.14,27113.27,SL,-0.9285,90.9973,1.0
2023-05-23 20:30:00+00:00,2023-05-24 14:05:00+00:00,short,27151.25,26339.35,TP,2.7211,93.7184,1.0
2023-05-24 16:40:00+00:00,2023-05-25 19:10:00+00:00,short,26188.68,26453.21,SL,-0.9466,92.7717,1.0
2023-05-25 23:05:00+00:00,2023-05-28 16:05:00+00:00,long,26481.97,27273.7,TP,2.7736,95.5453,1.0
2023-05-28 17:30:00+00:00,2023-05-28 23:10:00+00:00,long,27293.14,28109.12,TP,2.8565,98.4019,1.0
2023-05-29 00:15:00+00:00,2023-05-29 03:20:00+00:00,long,28353.41,28067.06,SL,-0.9938,97.4081,1.0
