ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
884814616,2025-07-09T15:13:51.338000,2025-07-09T15:15:57.759000,sell,1,1.0,BTCUSDm,108945.95,108901.45,108954.22,,0,0,44.5,,,user
884661664,2025-07-09T13:32:02.766000,2025-07-09T13:56:44.626000,buy,10,10.0,BTCUSDm,109689.33,109210.07,,,0,0,-4792.6,,,user
883993282,2025-07-09T01:20:03.509000,2025-07-09T02:26:00.505000,sell,10,10.0,BTCUSDm,108932.5,108781.33,,108250.21,0,0,1511.7,,,user
883987264,2025-07-09T01:09:43.589000,2025-07-09T01:17:56.185000,buy,10,10.0,BTCUSDm,109176.94,109004.2,109004.2,109855.64,0,0,-1727.4,,,sl
882747615,2025-07-08T04:48:42.409000,2025-07-08T16:56:33.643000,buy,0.05,0.05,BTCUSDm,108042.42,108411.75,,,0,0,18.47,,,user
883062613,2025-07-08T10:17:03.734000,2025-07-08T10:19:34.242000,buy,10,10.0,BTCUSDm,108664.31,108573.68,108573.68,109092.67,0,0,-906.3,,,sl
882739872,2025-07-08T04:33:35.044000,2025-07-08T04:47:01.263000,buy,8,8.0,BTCUSDm,108006.54,108008.16,107924.53,108159.2,0,0,12.96,,,user
878812554,2025-07-02T17:06:20.071000,2025-07-07T04:26:54.681000,sell,0.01,0.01,USTECm,22641.26,22789.13,,,0,0,-1.48,,,user
881437955,2025-07-07T03:26:42.827000,2025-07-07T03:46:08.405000,buy,8,8.0,BTCUSDm,109593.02,109498.34,109498.34,110493.76,0,0,-757.44,,,sl
881417029,2025-07-07T02:49:17.168000,2025-07-07T02:50:18.623000,sell,4,4.0,XAUUSDm,3306.327,3308.191,3308.191,3302.238,0,0,-745.6,,,sl
881386371,2025-07-07T02:01:04.224000,2025-07-07T02:23:31.756000,buy,8,8.0,BTCUSDm,109191.9,109446.81,109121.82,,0,0,2039.28,,,user
881355845,2025-07-07T01:20:44.651000,2025-07-07T01:38:43.878000,sell,4,4.0,XAUUSDm,3308.386,3316.588,,3303.372,0,0,-3280.8,,,user
879863375,2025-07-03T13:49:54.537000,2025-07-03T14:52:27.675000,buy,4,4.0,BTCUSDm,110477.84,109663.78,,111466.81,0,0,-3256.24,,,user
879886093,2025-07-03T14:03:29.786000,2025-07-03T14:52:27.660000,buy,4,4.0,BTCUSDm,110565.25,109663.78,,,0,0,-3605.88,,,user
879697121,2025-07-03T12:38:41.391000,2025-07-03T12:47:13.371000,sell,1,1.0,BTCUSDm,109065.83,108981.36,,,0,0,84.47,,,user
879301624,2025-07-03T07:40:41.856000,2025-07-03T07:59:59.338000,buy,0.25,0.25,BTCUSDm,109432.83,109329.89,,,0,0,-25.74,,,user
878156757,2025-07-02T08:42:46.901000,2025-07-03T07:14:06.780000,buy,0.2,0.2,BTCUSDm,107786.23,109245.57,107165.47,,0,0,291.86,,,user
879108985,2025-07-03T02:24:04.731000,2025-07-03T07:02:02.861000,buy,4,4.0,BTCUSDm,108731.81,109418.56,108808.58,,0,0,2747,,,user
878668267,2025-07-02T14:50:06.146000,2025-07-02T15:24:25.546000,buy,10,10.0,BTCUSDm,108155.02,108571.24,,109418.69,0,0,4162.2,,,user
878174928,2025-07-02T09:02:45.475000,2025-07-02T09:03:59.129000,buy,1,1.0,XAUUSDm,3333.687,3334.582,3332.743,3335.903,0,0,89.5,,,user
878168733,2025-07-02T08:55:23.397000,2025-07-02T09:02:02.944000,buy,4,4.0,BTCUSDm,107837.5,107814.13,,,0,0,-93.48,,,user
878151137,2025-07-02T08:35:17.527000,2025-07-02T08:39:14.995000,sell,1.5,1.5,XAUUSDm,3336.891,3337.399,3337.399,3336.181,0,0,-76.2,,,sl
878042883,2025-07-02T07:02:37.698000,2025-07-02T07:59:10.335000,buy,4,4.0,XAUUSDm,3332.327,3334.5170000000003,,3346.76,0,0,876,,,user
878024722,2025-07-02T06:48:28.723000,2025-07-02T07:02:13.136000,sell,0.1,0.1,XAUUSDm,3331.726,3332.3740000000003,,,0,0,-6.48,,,user
878038041,2025-07-02T06:58:57.984000,2025-07-02T07:00:42.998000,buy,4,4.0,XAUUSDm,3332.954,3331.445,3331.445,3335.958,0,0,-603.6,,,sl
878035624,2025-07-02T06:57:00.069000,2025-07-02T06:58:01.290000,sell,4,4.0,XAUUSDm,3330.906,3332.157,3332.06,3328.925,0,0,-500.4,,,sl
877875650,2025-07-02T02:44:30.821000,2025-07-02T05:30:12.623000,buy,1,1.0,BTCUSDm,105838.06,106576.19,106276.91,106944.64,0,0,738.13,,,user
877813826,2025-07-02T00:39:27.837000,2025-07-02T00:42:44.203000,sell,0.01,0.01,BTCUSDm,105673.53,105798.33,,,0,0,-1.24,,,user
877800201,2025-07-02T00:12:25.187000,2025-07-02T00:30:55.858000,buy,4,4.0,BTCUSDm,105847.95,105694.29,105694.29,106289.01,0,0,-614.64,,,sl
877741937,2025-07-01T22:22:08.677000,2025-07-01T22:25:10.274000,buy,1.5,1.5,XAUUSDm,3340.071,3341.636,3339.47,3342.011,0,0,234.75,,,user
877509182,2025-07-01T16:09:07.364000,2025-07-01T16:22:24.147000,buy,2,2.0,XAUUSDm,3341.012,3339.074,,,0,0,-387.6,,,user
877487260,2025-07-01T15:54:32.512000,2025-07-01T15:54:58.197000,sell,4,4.0,BTCUSDm,106075.42,106128.45,106128.45,,0,0,-212.12,,,sl
877485093,2025-07-01T15:52:31.502000,2025-07-01T15:53:17.895000,sell,4,4.0,BTCUSDm,106080.33,106128.45,106128.45,105926.29,0,0,-192.48,,,sl
877462061,2025-07-01T15:31:21.496000,2025-07-01T15:32:26.419000,sell,4,4.0,BTCUSDm,106156.71,106215.83,106215.83,,0,0,-236.48,,,sl
876761901,2025-07-01T07:30:21.415000,2025-07-01T08:02:17.198000,buy,4,4.0,BTCUSDm,107114.43,107122.12,106977.78,107384.27,0,0,30.76,,,user
876747643,2025-07-01T07:19:34.226000,2025-07-01T07:25:07.002000,sell,4,4.0,BTCUSDm,106806.54,106808.4,106808.4,106595.02,0,0,-7.44,,,sl
876695957,2025-07-01T06:43:27.740000,2025-07-01T06:51:15.244000,buy,0.2,0.2,XAUUSDm,3332.078,3334.13,,,0,0,41.04,,,user
876673645,2025-07-01T06:20:46.213000,2025-07-01T06:41:04.704000,buy,2,2.0,XAUUSDm,3326.592,3330.224,,3332.395,0,0,726.4,,,user
876671302,2025-07-01T06:16:49.538000,2025-07-01T06:20:33.463000,buy,2,2.0,XAUUSDm,3328.141,3327.236,3327.501,3329.934,0,0,-181,,,sl
876568664,2025-07-01T03:21:28.704000,2025-07-01T03:31:30.947000,buy,2,2.0,XAUUSDm,3320.475,3320.4590000000003,,3323.323,0,0,-3.2,,,user
876348106,2025-06-30T19:01:51.054000,2025-06-30T19:12:59.768000,buy,2,2.0,XAUUSDm,3298.947,3303.567,3298.294,3303.567,0,0,924,,,tp
876324512,2025-06-30T18:18:17.144000,2025-06-30T18:37:13.852000,buy,2,2.0,XAUUSDm,3298.383,3298.309,3298.309,3300.609,0,0,-14.8,,,sl
876286451,2025-06-30T17:34:03.240000,2025-06-30T17:34:09.834000,sell,1.25,1.25,XAUUSDm,3294.627,3294.887,3294.851,,0,0,-32.5,,,sl
876273934,2025-06-30T17:18:49.216000,2025-06-30T17:29:03.809000,buy,1.25,1.25,XAUUSDm,3296.219,3295.633,3295.633,3299.884,0,0,-73.25,,,sl
876247981,2025-06-30T16:49:24.300000,2025-06-30T17:14:04.593000,buy,1.25,1.25,XAUUSDm,3295.391,3294.871,3294.871,3298.939,0,0,-65,,,sl
872183430,2025-06-25T14:24:19.408000,2025-06-25T14:34:27.260000,sell,4,4.0,BTCUSDm,107479.53,107726.57,107726.57,107202.25,0,0,-988.16,,,sl
871551470,2025-06-25T02:19:54.846000,2025-06-25T14:01:59.915000,sell,0.01,0.01,XAUUSDm,3330.789,3315.376,,,0,0,15.41,,,user
871552030,2025-06-25T02:21:16.054000,2025-06-25T14:01:59.914000,buy,0.01,0.01,EURUSDm,1.16272,1.16052,,,0,0,-2.2,,,user
872119147,2025-06-25T13:43:17.972000,2025-06-25T14:00:26.003000,buy,4,4.0,BTCUSDm,107966.68,107915.8,,108446.68,0,0,-203.52,,,user
872060712,2025-06-25T13:10:35.726000,2025-06-25T13:16:52.619000,buy,2,2.0,BTCUSDm,107348.23,107619.13,107227.77,107619.13,0,0,541.8,,,tp
871550928,2025-06-25T02:18:44.749000,2025-06-25T12:56:51.708000,sell,0.01,0.01,BTCUSDm,106756.94,107321.36,,,0,0,-5.64,,,user
872016597,2025-06-25T12:44:23.361000,2025-06-25T12:45:05.883000,sell,1.25,1.25,XAUUSDm,3321.221,3319.506,,,0,0,214.38,,,user
871524293,2025-06-25T01:20:09.687000,2025-06-25T01:26:51.640000,sell,3,3.0,BTCUSDm,106182.57,106329.19,,105804.39,0,0,-439.86,,,user
871515917,2025-06-25T01:02:15.010000,2025-06-25T01:19:10.316000,buy,3,3.0,BTCUSDm,106500.95,106417.44,106344.93,106834.2,0,0,-250.53,,,user
871420187,2025-06-24T20:00:12.443000,2025-06-24T20:01:06.981000,buy,3,3.0,BTCUSDm,105688.9,105586.3,105586.3,106101.74,0,0,-307.8,,,sl
871407611,2025-06-24T19:39:00.616000,2025-06-24T19:47:57.731000,sell,3,3.0,BTCUSDm,105523.12,105399.65000000001,,105305.38,0,0,370.41,,,user
871387588,2025-06-24T19:10:20.309000,2025-06-24T19:10:33.257000,sell,4,4.0,BTCUSDm,105476.99,105515.44,105515.44,105322.19,0,0,-153.8,,,sl
870058307,2025-06-23T18:03:53.279000,2025-06-24T18:02:38.167000,buy,0.01,0.01,USTECm,21871.84,22221.170000000002,,,0,0,3.49,,,user
871342666,2025-06-24T18:01:27.303000,2025-06-24T18:02:06.505000,buy,4,4.0,BTCUSDm,106165.32,106123.75,106060.37,,0,0,-166.28,,,user
871291482,2025-06-24T16:53:29.722000,2025-06-24T17:56:40.979000,buy,4,4.0,BTCUSDm,106048.22,106023.52,106023.52,106859.8,0,0,-98.8,,,sl
871131933,2025-06-24T14:19:38.707000,2025-06-24T14:38:06.460000,buy,2,2.0,BTCUSDm,105457.5,105509.58,,,0,0,104.16,,,user
870928429,2025-06-24T12:26:39.354000,2025-06-24T12:30:09.679000,buy,2,2.0,BTCUSDm,105204.41,105105.95,105105.95,105804.83,0,0,-196.92,,,sl
870082992,2025-06-23T18:28:26.976000,2025-06-23T18:37:16.140000,buy,1,1.0,BTCUSDm,102744.38,103213.96,,,0,0,469.58,,,user
869932207,2025-06-23T16:34:56.121000,2025-06-23T16:39:16.158000,sell,0.1,0.1,BTCUSDm,99962.74,100362.28,,,0,0,-39.96,,,user
869926384,2025-06-23T16:29:27.527000,2025-06-23T16:33:03.428000,sell,3,3.0,BTCUSDm,100280.46,100112.69,,,0,0,503.31,,,user
869888908,2025-06-23T15:56:10.604000,2025-06-23T16:26:19.083000,buy,1,1.0,XAUUSDm,3389.493,3392.927,,3394.645,0,0,343.4,,,user
869642387,2025-06-23T13:09:59.520000,2025-06-23T13:13:18.643000,buy,0.01,0.01,XAUUSDm,3364.322,3367.539,,,0,0,3.22,,,user
868862254,2025-06-22T23:11:56.821000,2025-06-22T23:28:34.742000,buy,0.08,0.08,EURUSDm,1.14933,1.1497000000000002,,,0,0,2.96,,,user
868862876,2025-06-22T23:12:31.757000,2025-06-22T23:28:34.742000,buy,1,1.0,EURUSDm,1.14941,1.1497000000000002,,,0,0,29,,,user
868854568,2025-06-22T23:05:45.913000,2025-06-22T23:07:50.595000,buy,0.01,0.01,XAUUSDm,3374.252,3372.407,3372.407,,0,0,-1.84,,,sl
868652282,2025-06-22T16:23:36.027000,2025-06-22T17:00:22.158000,sell,0.01,0.01,BTCUSDm,98950.55,99805.04000000001,,,0,0,-8.54,,,user
868631162,2025-06-22T15:20:15.565000,2025-06-22T16:05:48.284000,sell,4,4.0,BTCUSDm,99632.96,99284.07,,98564.69,0,0,1395.56,,,user
868601431,2025-06-22T14:24:20.153000,2025-06-22T15:17:49.985000,sell,4,4.0,BTCUSDm,99750.65,99732.06,,98337.22,0,0,74.36,,,user
868458497,2025-06-22T00:23:22.027000,2025-06-22T00:25:50.878000,buy,0.03,0.03,BTCUSDm,102688.47,102438.26000000001,,,0,0,-7.5,,,user
868414969,2025-06-21T21:32:22.685000,2025-06-21T22:22:02.865000,sell,0.01,0.01,BTCUSDm,101307.08,101840.97,,,0,0,-5.34,,,user
868413376,2025-06-21T21:31:32.765000,2025-06-21T21:31:42.992000,sell,3,3.0,BTCUSDm,101451,101320.42,,,0,0,391.74,,,user
866042462,2025-06-18T20:22:30.948000,2025-06-18T20:45:47.862000,buy,0.01,0.01,XAUUSDm,3365.936,3366.018,,,0,0,0.08,,,user
864918373,2025-06-18T04:13:36.747000,2025-06-18T04:20:21.042000,buy,0.14,0.14,XAUUSDm,3392.496,3392.746,,,0,0,3.5,,,user
864916431,2025-06-18T04:09:51.710000,2025-06-18T04:20:21.041000,buy,0.14,0.14,XAUUSDm,3392.501,3392.746,,,0,0,3.43,,,user
864583664,2025-06-17T17:01:30.578000,2025-06-17T17:06:57.768000,sell,2,2.0,BTCUSDm,103494.64,103335.27,103335.27,102727.01,0,0,318.74,,,sl
864498744,2025-06-17T15:33:51.438000,2025-06-17T15:35:20.875000,buy,0.14,0.14,XAUUSDm,3380.716,3382.137,,,0,0,19.9,,,user
864487767,2025-06-17T15:26:38.969000,2025-06-17T15:26:44.737000,buy,0.15,0.15,XAUUSDm,3382.483,3381.794,,,0,0,-10.34,,,user
864210946,2025-06-17T12:35:37.977000,2025-06-17T12:50:11.461000,buy,0.01,0.01,BTCUSDm,105752.23,105592.73,105592.73,105951.57,0,0,-1.59,,,sl
840618870,2025-05-21T05:13:10.114000,2025-05-21T05:13:52.911000,buy,2,2.0,BTCUSDm,107597.71,107460.49,,,0,0,-274.44,,,user
838230701,2025-05-18T17:41:24.790000,2025-05-18T17:49:21.775000,buy,4,4.0,BTCUSDm,105601.64,105220.96,105089.76,106500.48,0,0,-1522.72,,,user
838213617,2025-05-18T16:10:36.865000,2025-05-18T17:27:50.898000,buy,2,2.0,BTCUSDm,105520.53,105390.18000000001,,,0,0,-260.7,,,user
838216982,2025-05-18T16:23:10.036000,2025-05-18T17:27:50.882000,buy,2,2.0,BTCUSDm,105212.34,105390.18000000001,,,0,0,355.68,,,user
838209107,2025-05-18T15:49:49.015000,2025-05-18T15:55:38.527000,buy,1,1.0,BTCUSDm,105463.61,105470.71,,,0,0,7.1,,,user
838206761,2025-05-18T15:30:38.858000,2025-05-18T15:55:38.511000,buy,0.01,0.01,BTCUSDm,105340.63,105470.71,,,0,0,1.3,,,user
838088371,2025-05-17T13:45:10.200000,2025-05-17T13:46:44.110000,buy,0.01,0.01,BTCUSDm,102847.39,102746.5,,,0,0,-1,,,user
837934646,2025-05-16T17:14:25.700000,2025-05-17T13:44:42.539000,buy,0.01,0.01,BTCUSDm,104185.65,102832.78,,,0,0,-13.53,,,user
837849942,2025-05-16T15:21:09.481000,2025-05-16T16:19:27.161000,buy,1,1.0,BTCUSDm,103965.79,104119.43000000001,,,0,0,153.64,,,user
837019881,2025-05-15T19:34:21.885000,2025-05-16T16:19:26.663000,buy,0.01,0.01,BTCUSDm,102996,104121.38,,,0,0,11.25,,,user
837845866,2025-05-16T15:15:48.881000,2025-05-16T16:19:26.663000,buy,1,1.0,BTCUSDm,104201.73,104121.38,,,0,0,-80.35,,,user
837799701,2025-05-16T14:31:38.623000,2025-05-16T14:38:01.005000,sell,0.15,0.15,GOOGLm,166.97,166.86,,,0,0,1.65,,,user
837729118,2025-05-16T13:29:29.093000,2025-05-16T13:35:01.616000,buy,0.25,0.25,XAUUSDm,3177.107,3182.793,,,0,0,142.15,,,user
837214954,2025-05-16T03:06:20.166000,2025-05-16T13:35:01.606000,buy,0.01,0.01,XAUUSDm,3214.926,3182.793,,,0,0,-32.14,,,user
837042617,2025-05-15T20:09:29.736000,2025-05-16T13:35:01.605000,buy,0.01,0.01,XAUUSDm,3234.971,3182.793,,,0,0,-52.18,,,user
837032478,2025-05-15T19:57:36.664000,2025-05-15T20:06:06.399000,buy,1,1.0,BTCUSDm,103253.66,103440.67,,,0,0,187.01,,,user
837027656,2025-05-15T19:48:27.837000,2025-05-15T19:53:40.931000,buy,1,1.0,BTCUSDm,103213.14,103126.77,103055.79,,0,0,-86.37,,,user
836810766,2025-05-15T15:25:12.567000,2025-05-15T15:27:35.088000,buy,0.25,0.25,XAUUSDm,3215.391,3215.073,3215.079,3221.639,0,0,-7.95,,,sl
836777702,2025-05-15T14:59:29.579000,2025-05-15T15:16:09.711000,buy,2,2.0,BTCUSDm,101993.63,102248.27,,,0,0,509.28,,,user
836764350,2025-05-15T14:46:25.952000,2025-05-15T14:56:18.547000,sell,1,1.0,BTCUSDm,101461.34,101992.37,,,0,0,-531.03,,,user
836347999,2025-05-15T08:43:05.575000,2025-05-15T14:56:18.543000,sell,0.01,0.01,BTCUSDm,102223.28,101992.37,,,0,0,2.31,,,user
834779802,2025-05-13T20:54:11.624000,2025-05-13T21:05:42.295000,buy,0.01,0.01,BTCUSDm,104650.08,104470.65,104470.65,,0,0,-1.79,,,sl
834738475,2025-05-13T19:28:39.658000,2025-05-13T19:52:08.391000,buy,1,1.0,BTCUSDm,104712.8,104699.32,104699.32,105613.96,0,0,-13.48,,,sl
832034980,2025-05-10T09:40:27.745000,2025-05-10T09:41:27.218000,buy,3,3.0,BTCUSDm,103885.97,103710.25,103710.25,,0,0,-527.16,,,sl
832023619,2025-05-10T08:07:38.057000,2025-05-10T08:53:16.767000,buy,5,5.0,BTCUSDm,104101.89,103566.69,,105018.15,0,0,-2676,,,user
832020615,2025-05-10T07:37:52.271000,2025-05-10T07:53:45.992000,sell,0.01,0.01,BTCUSDm,103757.7,103763.75,103763.75,,0,0,-0.06,,,sl
832019580,2025-05-10T07:25:31.838000,2025-05-10T07:34:10.891000,sell,0.01,0.01,BTCUSDm,103667.9,103800.54,103800.54,,0,0,-1.33,,,sl
832016150,2025-05-10T06:59:53.801000,2025-05-10T07:07:31.799000,buy,2,2.0,BTCUSDm,103933.41,103941.86,103941.86,,0,0,16.9,,,sl
832014030,2025-05-10T06:38:21.613000,2025-05-10T06:43:38.916000,sell,0.01,0.01,BTCUSDm,103767.33,103625.98,,,0,0,1.41,,,user
830845971,2025-05-08T17:24:21.790000,2025-05-09T14:33:03.253000,buy,0.01,0.01,BTCUSDm,101548.66,102855.51000000001,,,0,0,13.07,,,user
831666810,2025-05-09T13:58:37.915000,2025-05-09T14:32:51.784000,buy,0.01,0.01,BTCUSDm,103756.86,102823.69,,,0,0,-9.33,,,user
831674818,2025-05-09T14:01:28.624000,2025-05-09T14:03:30.874000,buy,0.01,0.01,BTCUSDm,103492.44,103385.01000000001,,,0,0,-1.07,,,user
830529596,2025-05-08T13:53:44.955000,2025-05-08T16:55:06.354000,buy,0.06,0.06,BTCUSDm,99289.05,101352.69,,,0,0,123.82,,,user
830502622,2025-05-08T13:37:20.032000,2025-05-08T16:55:06.353000,buy,0.01,0.01,BTCUSDm,99573.39,101352.69,,,0,0,17.8,,,user
830639887,2025-05-08T15:21:28.184000,2025-05-08T15:28:53.821000,buy,3,3.0,BTCUSDm,100005.32,100862.24,,100862.24,0,0,2570.76,,,tp
830143241,2025-05-08T08:05:05.410000,2025-05-08T09:02:51.598000,buy,2,2.0,BTCUSDm,99370.9,99569.52,,100330.49,0,0,397.24,,,user
830113328,2025-05-08T07:34:46.699000,2025-05-08T09:02:51.580000,buy,3,3.0,BTCUSDm,99257,99569.52,,100459.72,0,0,937.56,,,user
829875780,2025-05-08T03:54:46.463000,2025-05-08T04:46:51.295000,buy,1.02,1.02,BTCUSDm,98995.16,99079.38,,100978.38,0,0,85.91,,,user
829884109,2025-05-08T04:10:34.561000,2025-05-08T04:46:51.294000,buy,1.02,1.02,BTCUSDm,99095.17,99079.38,,,0,0,-16.1,,,user
829509570,2025-05-07T18:11:32.290000,2025-05-07T18:18:09.222000,buy,0.25,0.25,XAUUSDm,3397.54,3389.247,,,0,0,-207.32,,,user
828258545,2025-05-06T16:40:54.212000,2025-05-06T17:24:08.639000,buy,0.29,0.29,XAUUSDm,3404.907,3415.57,,3428.891,0,0,309.23,,,user
827656895,2025-05-06T08:23:53.420000,2025-05-06T09:18:52.791000,buy,0.5,0.5,XAUUSDm,3383.202,3372.382,,,0,0,-541,,,user
827646149,2025-05-06T08:16:43.625000,2025-05-06T08:17:56.358000,buy,0.5,0.5,XAUUSDm,3379.953,3380.984,,,0,0,51.55,,,user
827594356,2025-05-06T07:34:34.119000,2025-05-06T07:35:28.901000,buy,0.5,0.5,XAUUSDm,3377.109,3376.738,3376.738,,0,0,-18.55,,,sl
827419575,2025-05-06T03:40:22.501000,2025-05-06T04:52:48.539000,buy,0.5,0.5,XAUUSDm,3361.038,3360.523,,3372.112,0,0,-25.75,,,user
827448794,2025-05-06T04:42:45.776000,2025-05-06T04:52:48.539000,buy,0.39,0.39,XAUUSDm,3359.968,3360.523,,,0,0,21.65,,,user
826384725,2025-05-05T09:00:14.236000,2025-05-05T09:18:04.040000,buy,0.5,0.5,XAUUSDm,3282.933,3293.777,,,0,0,542.2,,,user
826318947,2025-05-05T08:09:19.954000,2025-05-05T08:42:58.490000,sell,2,2.0,BTCUSDm,94673.35,94606.92,94778.08,,0,0,132.86,,,user
826002390,2025-05-05T00:04:04.056000,2025-05-05T00:04:49.518000,sell,2,2.0,BTCUSDm,94228.59,94347.64,94347.64,,0,0,-238.1,,,sl
825977649,2025-05-04T23:31:42.828000,2025-05-04T23:48:09.621000,sell,1,1.0,BTCUSDm,94294.41,94346.84,,,0,0,-52.43,,,user
825967173,2025-05-04T23:12:39.661000,2025-05-04T23:25:39.127000,sell,0.01,0.01,BTCUSDm,94753.39,94637.33,,,0,0,1.16,,,user
825860323,2025-05-04T10:49:11.034000,2025-05-04T10:50:02.379000,sell,0.01,0.01,BTCUSDm,95508.49,95485.89,,,0,0,0.22,,,user
825770773,2025-05-03T14:32:56.289000,2025-05-03T14:35:40.748000,sell,0.22,0.22,BTCUSDm,96304.53,96413.56,,,0,0,-23.98,,,user
825769575,2025-05-03T14:18:35.157000,2025-05-03T14:33:12.295000,buy,0.01,0.01,BTCUSDm,96394.75,96305.24,,,0,0,-0.9,,,user
825769719,2025-05-03T14:19:57.985000,2025-05-03T14:28:54.142000,buy,0.21,0.21,BTCUSDm,96419.06,96360.25,,,0,0,-12.35,,,user
825766453,2025-05-03T14:05:49.815000,2025-05-03T14:16:01.771000,sell,0.01,0.01,BTCUSDm,96410.6,96337.17,,,0,0,0.74,,,user
825659121,2025-05-02T19:05:20.544000,2025-05-02T19:09:26.695000,sell,0.02,0.02,BTCUSDm,97029.51,97042.56,97042.56,96935.9,0,0,-0.26,,,sl
825650857,2025-05-02T18:49:50.753000,2025-05-02T18:52:08.090000,buy,0.01,0.01,XAUUSDm,3228.834,3225.94,,,0,0,-2.89,,,user
825648176,2025-05-02T18:44:30.746000,2025-05-02T18:49:04.470000,sell,0.01,0.01,BTCUSDm,97550.2,97494.62,97494.62,97399.9,0,0,0.55,,,sl
824293095,2025-05-01T14:37:25.758000,2025-05-01T15:10:46.163000,buy,2,2.0,BTCUSDm,96720.9,97206.47,,,0,0,971.14,,,user
824295578,2025-05-01T14:40:02.641000,2025-05-01T15:10:46.137000,buy,1.69,1.69,BTCUSDm,96614.43,97206.47,,,0,0,1000.54,,,user
823994277,2025-05-01T10:41:14.631000,2025-05-01T11:45:05.117000,buy,0.01,0.01,XAUUSDm,3223.368,3214.2400000000002,,,0,0,-9.13,,,user
824030199,2025-05-01T11:28:36.936000,2025-05-01T11:30:13.947000,sell,0.16,0.16,XAUUSDm,3223.083,3224.918,,,0,0,-29.36,,,user
824026383,2025-05-01T11:23:53.244000,2025-05-01T11:28:39.494000,buy,0.11,0.11,XAUUSDm,3227.28,3222.885,,3230.261,0,0,-48.34,,,user
