ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason,hour,weekday,direction,target
893762243,2025-07-18 17:02:42.964,2025-07-18T17:17:36.032000,sell,3,3,BTCUSDm,117364.88,117718.29,,,0,0,-1060.23,,,user,17,4,0,0
893769143,2025-07-18 16:03:34.668,2025-07-18T16:04:21.158000,buy,3,3,BTCUSDm,118057.61,117920.95,117920.95,118529.73,0,0,-409.98,,,sl,16,4,1,0
